dish_name,dish_rating,cooking_time,course,cuisine,ingredients
Asian Chicken Lettuce Wraps,4,2400,[Main Dishes],Chinese,"['corn starch', 'sherry wine', 'water', ' soy sauce', 'boneless skinless chicken breast', 'canola oil', 'fresh ginger', 'garlic', 'scallion', 'shiitake', 'bamboo shoot', 'water chestnut', 'hoisin sauce', 'oyster sauce', 'sesame oil', 'sugar', 'lettuce leaf']"
Slow Cooker Kung Pao Chicken,4,11400,[Main Dishes],Asian,"['chicken breast', 'arrowroot powder', 'coconut oil', 'tamari soy sauce', 'hoisin sauce', 'garlic chili sauce', 'apple cider vinegar', 'honey', 'sriracha', 'sesame oil', 'red bell pepper', 'water chestnut', 'green onion']"
Easy Shrimp and Broccoli Stir Fry,4,1200,[Main Dishes],Asian,"['olive oil', 'medium shrimp', 'broccoli floret', 'sesame seed', 'green onion', ' soy sauce', 'oyster sauce', 'rice vinegar', 'brown sugar', 'ginger', 'garlic', 'sesame oil', 'corn starch', 'sriracha']"
Spicy Kung Pao Ramen,4,2100,[Soups],Asian,"['olive oil', 'red bell pepper', 'green onion', 'garlic', 'water', ' chicken broth', 'sriracha', 'rice vinegar', 'oyster sauce', 'soy sauce', 'cooked chicken breast', 'unsalted dry roast peanut', 'sesame seed']"
Egg-Battered Tofu,4,1200,[],Asian,"['extra firm tofu', ' egg', 'green onion', 'salt', 'sesame oil', 'soy sauce']"
Sticky Chinese Pork Belly,4,3600,[Main Dishes],Chinese,"['pork belly', 'chicken', 'ginger', 'garlic', 'rice wine', 'caster sugar', 'vegetable oil', 'salt', 'red chili pepper', 'honey', 'brown sugar', 'soy sauce', 'lemon grass']"
Asian Chicken Salad with Sesame Chili Vinaigrette,4,1800,[Salads],Asian,"['rotisserie chicken', 'green cabbage', 'frozen pea', 'carrot', 'cucumber', 'green onion', 'garlic chili sauce', 'honey', 'sesame oil', 'vinegar', 'lime juice', 'wasabi paste', 'peanut']"
Beef Broccoli Stir-Fry,3,2100,[Main Dishes],Asian,"[' chicken broth', ' soy sauce', 'brown sugar', 'garlic', 'fresh ginger', 'corn starch', 'crushed red pepper flake', 'top sirloin steak', 'broccoli floret', 'water', 'oil']"
Keema Paratha Recipe-Stuffed keema paratha,4,4500,[],Indian,"['whole wheat flour', 'ghee', 'salt', 'mutton', 'onion', 'cumin seed', 'green chilies', 'garlic paste', 'red chili powder', 'chat masala', 'cilantro leaf', 'oil', 'wheat flour']"
Japanese Udon - Tofu Soup,4,2100,[Soups],Japanese,"['silken tofu', 'udon', 'white miso', 'bouillon', 'ginger', 'lemongrass', 'green chilies', 'scallion']"
Savory Vegetable Stir Fry,4,1800,[Main Dishes],Asian,"['soba noodle', 'purple onion', 'cabbage', 'shiitake', 'red bell pepper', 'broccoli floret', 'garlic', 'fresh ginger', ' soy sauce', 'olive oil', 'sesame oil', 'rice vinegar', 'corn starch', 'peanut butter', 'red pepper flake']"
"Yakitori Chicken With Ginger, Garlic and Soy Sauce",3,3900,[Main Dishes],Japanese,"['chicken liver', 'dark soy sauce', 'mirin', 'sake', 'brown sugar', 'garlic clove', 'fresh ginger', 'scallion']"
Spicy Hoisin Chicken Bowls,3,1200,[Main Dishes],Asian,"['chicken breast', 'sesame oil', 'chili garlic paste', 'cabbage', 'carrot', 'rice', 'hoisin sauce', 'sesame seed']"
Shrimp Fried Rice,4,2100,[Main Dishes],Asian,"['shrimp', 'rice', 'sesame oil', 'white onion', 'frozen pea and carrot', 'soy sauce', 'egg', 'green onion', 'sesame seed', 'salt', 'pepper']"
Asian Meatball Recipe With Noodles,4,3300,[Main Dishes],Asian,"['lean ground beef', 'white onion', 'egg', 'garlic clove', 'fresh ginger', 'salt', 'black pepper', 'hot red pepper flake', 'soy sauce', 'flour', 'rice', 'sesame oil', 'carrot', 'green onion', 'beef broth']"
Szechuan Noodles,4,1800,[Main Dishes],Asian,"['flank steak', 'garlic', 'fresh ginger', 'crushed red pepper flake', 'sesame oil', 'corn starch', 'beef broth', 'hoisin sauce', 'soy sauce', 'vermicelli', 'sliced green onion']"
Slow Cooker Peppery Beef Noodles,4,28800,[Main Dishes],Asian,"['chuck roast', 'canola oil', 'garlic clove', 'crushed red pepper', 'black pepper', 'chinese five spice powder', 'tamari soy sauce', 'kosher salt', 'ginger root', 'brown sugar', 'thin spaghetti', 'cabbage', 'sriracha']"
Low Calorie Noodle Stir Fry,4,1800,,Asian,"['shirataki', 'vegetable', 'cold water', 'corn starch', ' soy sauce', 'balsamic vinegar']"
Chinese BBQ Pork,4,23400,[Main Dishes],Chinese,"['boneless pork tenderloin', 'hoisin sauce', 'honey', 'sake', 'oyster sauce', ' soy sauce', 'sesame oil', 'red food coloring']"
Thai Food Lovers,4,1800,,Asian,"['rump steak', 'ground coriander', 'ground fennel', 'ground white pepper', 'garlic', 'fish sauce', 'soy paste', 'light soy sauce', 'palm sugar', 'sugar', 'salt']"
Asian Ramen Noodle Broccoli Slaw,4,2400,[],Asian,"['ramen noodle', 'broccoli slaw', 'dry roasted peanut', 'chopped cilantro', 'green onion', 'vegetable oil', 'granulated sugar', 'rice vinegar', 'soy sauce', 'toasted sesame oil', 'garlic salt', 'garlic powder', 'black pepper']"
Chicken Curry with Coconut MIlk,4,3600,[Main Dishes],Asian,"['peanut oil', 'red curry paste', 'curry powder', 'fresh ginger', 'chicken breast', 'potato', 'carrot', 'coconut milk']"
Chinese Chicken and Broccoli,4,1800,[Main Dishes],Chinese,"['boneless skinless chicken breast', 'sesame oil', 'garlic', 'red pepper flake', 'broccoli floret', 'chicken broth', 'salt', 'pepper', 'green onion', 'hoisin sauce', 'oyster sauce', 'sesame seed']"
Saucy Sesame Teriyaki Chicken,3,15000,[Main Dishes],Asian,"['boneless chicken breast', 'garlic', 'onion', 'honey', 'soy sauce', 'rice vinegar', 'pepper', 'cold water', 'corn starch', 'sesame seed']"
Ginger-Lemongrass Miso Soup,3,2700,[Soups],Asian,"['lemongrass', 'sesame oil', 'yellow onion', 'fresh ginger', 'white miso', 'enokitake', 'scallion']"
Pan-Fried Udon Noodles with Garlic and Rapini,4,1200,,Asian,"['water', 'oyster sauce', 'brown sugar', 'sesame oil', 'rapini', 'garlic clove', 'ground black pepper', 'udon', 'toasted sesame seed']"
Ginger Sesame Chicken,4,1500,[Main Dishes],Asian,"['sesame seed', 'water', ' soy sauce', 'maple syrup', 'wine', 'fresh ginger root', 'mixed spice', 'flour', 'salt', 'black pepper', 'boneless skinless chicken breast', 'sesame oil', 'cooked brown rice']"
Thai-Style Beef and Broccoli Curry,4,2100,[Main Dishes],Thai,"['floret', 'broccoli', 'vegetable oil', 'beef tenderloin', 'freshly ground pepper', 'kosher salt', 'shallot', 'fresh ginger', 'thai red curry paste', 'coconut milk', 'brown sugar', 'asian fish sauce', 'steamed rice', 'fresh basil leaf', 'lime wedge']"
Asian Chicken Lettuce Wraps 2.0,4,1800,[],Asian,"['olive oil', 'garlic clove', 'fresh ginger', 'ground chicken', 'tamari soy sauce', 'rice vinegar', 'corn starch', 'honey', 'butter lettuce', 'sesame seed', 'fresh cilantro', 'scallion']"
Slow Cooker Asian Chicken and Noodles with Broccoli,4,22200,[Main Dishes],Asian,"['boneless skinless chicken breast', 'soba noodle', 'broccoli floret', 'garlic clove', 'hoisin sauce', 'corn starch', 'rice vinegar', 'soy sauce', 'fresh ginger', 'sesame oil', 'red chili pepper']"
General Tsoâs Cauliflower,4,3000,,Chinese,"['cauliflower', 'corn starch', 'baking soda', 'salt', 'sesame oil', 'white pepper', 'water', 'rice flour', 'toasted sesame seed', 'peanut oil', 'minced ginger', 'garlic', 'dried red chile pepper', 'shaoxing wine', 'light soy sauce', 'rice vinegar', 'sugar', 'scallion']"
Ultimate Chicken Stir-fry,3,1800,[Main Dishes],Asian,"['unsalted cashew', 'oil', 'chicken breast', 'mushroom', 'carrot', 'water chestnut', 'chili oil', 'garlic', 'minced ginger', 'spring onion', 'soy sauce', 'water', 'corn starch', 'cooked white rice']"
Thai Coconut Chicken and Shrimp Soup,4,1200,[Soups],Thai,"['chicken broth', 'water', 'lemongrass', 'galangal', 'kaffir lime leaf', 'thai chili paste', 'skinless chicken breast', 'shrimp', 'white button mushroom', 'red chili pepper', 'fish sauce', 'coconut milk', 'lime']"
Asian-Style Crockpot Beef and Broccoli,3,3300,[Main Dishes],Asian,"['steak', 'onion', 'garlic', 'ginger', 'beef broth', 'soy sauce', 'brown sugar', 'sesame oil', 'red pepper flake', 'corn starch', 'broccoli', 'rice']"
Shrimp and Pork Wontons in Spicy Sauce,4,1800,[Appetizers],Asian,"['garlic', 'shrimp', 'ground pork', 'soy sauce', 'sesame oil', 'ground ginger', 'salt', 'wonton wrapper', 'chili oil', 'chinese black vinegar', 'granulated sugar', 'crushed red pepper', 'garlic clove', 'green onion']"
Braised Chicken with Ginger and Sesame Oil,3,600,[Main Dishes],Asian,"['sesame oil', 'ginger', 'chicken', 'dark soy sauce', 'water', 'salt']"
Chongqing Spicy Chicken,4,3000,[Main Dishes],Asian,"['chicken thigh fillet', 'szechwan peppercorn', 'red chili pepper', 'green chilies', 'shallot', 'onion', 'ginger', 'garlic', 'salt', 'shaoxing wine', 'light soy sauce', 'vegetable oil', 'sugar']"
Spicy Garlic Soy Tofu,3,600,[],Asian,"['dried red chile pepper', 'ginger', 'white sesame seed', 'salt', 'garlic', 'sesame oil', 'soy sauce', 'pepper', 'extra firm tofu', 'green onion']"
Spicy Chicken Pot Stickers with Ginger and Green Onion Dipping Sauce,3,2100,[Appetizers],Asian,"['ground chicken breast', 'water chestnut', 'drained and chopped', 'green onion', 'fresh cilantro', ' soy sauce', 'fresh ginger', 'garlic', 'crushed red pepper', 'egg white', 'water', 'wonton wrapper', 'ginger', 'vegetable oil']"
Asian Coleslaw,4,1800,[],Asian,"['vinegar', 'vegetable oil', 'creamy peanut butter', 'soy sauce', 'brown sugar', 'fresh ginger root', 'minced garlic', 'green cabbage', 'red cabbage', 'napa cabbage', 'red bell pepper', 'carrot', 'green onion', 'chopped cilantro fresh']"
Healthy Pad Thai,4,3900,[Main Dishes],Asian,"['spaghetti squash', 'lemon', 'mirin', 'fish sauce', 'jalapeno chilies', 'water', 'grapeseed oil', 'mustard green', 'extra firm tofu', ' egg', 'peanut', 'cucumber', 'pea shoot']"
Kokubâs Mango Chutney from Pakistan,4,3900,[],Asian,"['mango', 'fresh ginger root', 'garlic', 'white sugar', 'salt', 'red pepper flake', 'cumin seed', 'black peppercorn', 'white vinegar', 'clove', 'cinnamon stick', 'cardamom seed', 'cardamom pod']"
Thai Style Stir-Fried Butternut Squash with Eggs,4,2100,[Main Dishes],Thai,"['butternut squash', 'coconut oil', 'garlic', 'fish sauce', 'egg', 'black pepper', 'water']"
Ginger Chilli Salmon With Noodles,3,1500,[Main Dishes],Asian,"['kecap manis', 'garlic', 'ginger', 'water', 'chili flake', 'sea salt flake', 'salmon fillet', 'vegetable oil', 'brown mushroom', 'dried rice noodle', 'coriander']"
Spicy Chicken Soba Noodles,4,1500,[Main Dishes],Asian,"['soba noodle', 'peanut oil', 'chicken breast', 'onion', 'garlic', 'fresh ginger', 'red pepper', 'broccoli', 'green pea', 'shiitake', 'scallion', 'hoisin sauce', 'soy sauce', 'sesame oil', 'rice vinegar', 'garlic chili sauce']"
Clean-out-the-Fridge Miso Ramen,4,900,[],Asian,"['miso', 'baby spinach', 'corn kernel', 'carrot', 'sriracha', 'green onion', 'black sesame seed']"
"Quinoa Salad with Edamame, Cucumber and Avocado",4,1800,[Salads],Asian,"['black quinoa', 'water', 'salt', 'edamame', 'seedless cucumber', 'avocado', 'green onion', 'chopped cilantro', 'black pepper', 'rice vinegar', 'tamari soy sauce', 'sesame oil', 'lime juice', 'fresh ginger']"
ASIAN HONEY SOY CHICKEN,4,1800,[Main Dishes],Asian,"['boneless chicken skinless thigh', 'olive oil', 'kosher salt', 'freshly ground black pepper', 'honey', 'soy sauce', 'water', 'rice vinegar', 'sesame oil', 'fresh ginger root', 'crushed red pepper flake', 'rice', 'scallion']"
Mango Summer Rolls,4,2700,,Asian,"['rice vermicelli', 'mango', 'carrot', 'cucumber', 'mint leaf', 'rice paper', 'peanut butter', 'water', 'soy sauce', 'honey', 'white rice vinegar', 'chili sauce']"
Low Carb Spicy Shrimp with Crispy Cabbage,4,1800,[Main Dishes],Asian,"['medium shrimp', 'ghee', 'sriracha', 'minced ginger', 'garlic', 'green cabbage', ' tamari', 'five spice', 'green onion', 'chopped cilantro fresh']"
Veggie Spring Rolls,4,2100,,Asian,"['spring roll', 'carrot', 'bok choy', 'shiitake', 'soy sauce', 'ground ginger', 'sesame oil', 'vermicelli noodle', 'oil']"
Yakionigiri Miso Butter Flavour,4,2100,,Japanese,"['rice', 'butter', 'miso', 'mirin', 'sake', 'sugar', 'water', 'shiso leaf', 'sesame seed', 'chive']"
Thai-Style Crock Pot Curry,3,3900,[Main Dishes],Thai,"['coconut milk', 'dark brown sugar', 'soy sauce', 'chili paste', 'fish sauce', 'onion', 'garlic', 'ginger', 'red bell pepper', 'green bell pepper', 'eggplant', 'sweet potato', 'bone in skinless chicken thigh', 'white rice', 'lime', 'scallion', 'chopped cilantro', 'basil']"
Japanese Cabbage Stew,3,23400,[Main Dishes],Japanese,"['nonstick spray', 'shredded coleslaw mix', 'lean ground pork', 'leaf', 'sweet pepper', 'finely chopped onion', 'chopped celery', 'green onion', 'salt', 'ground black pepper', 'red miso', ' chicken broth', 'soy sauce', 'tomato paste', 'sake', 'rice vinegar', 'dried thyme']"
Gluten Free Beef and Broccoli Stir Fry,4,4500,[Main Dishes],Asian,"['stir fry beef meat', 'water', ' soy sauce', 'garlic', 'ground pepper', 'oil', 'broccoli floret', 'onion', 'carrot', 'cold water', 'brown sugar', 'ground ginger', 'sesame oil', 'red pepper flake', 'corn starch', 'toasted sesame seed']"
Thai Iced Tea,5,3600,[Beverages],Thai,"['tea', 'water', 'sugar', 'half half', 'ice']"
Spicy Bok Choy,4,660,,Asian,"['baby bok choy', 'peanut sauce', ' soy sauce', 'garlic powder', 'sriracha', 'sesame oil', 'sesame seed']"
Eggrolls 'Unrolled'... bariatric yum!,3,1800,[Main Dishes],Chinese,"['boneless chicken breast', 'soy sauce', 'corn starch', 'peanut oil', 'fresh ginger', 'garlic clove', 'fresh shiitake mushroom', 'napa cabbage', 'carrot', 'scallion', 'chinese rice wine', 'sesame oil', 'freshly ground black pepper']"
"10-Minute Hot Oil Noodles (You Po Mian, Gluten-Free)",4,600,[],Asian,"['water', 'wide rice noodle', 'soybean sprout', 'vegetable', 'oil', 'garlic', 'minced ginger', 'ground paprika', 'crushed red pepper', 'apple cider vinegar', 'salt', 'soy sauce', 'green onion']"
Awesome Egg Rolls,4,3000,[Appetizers],Asian,"['cabbage', 'carrot', 'beansprouts', 'celery rib', 'chopped onion', 'shrimp', 'soy sauce', 'garlic powder', 'black pepper', 'egg', 'corn starch', 'egg roll wrapper', 'vegetable oil']"
Glazed Shiitakes With Bok Choy,3,2400,,Asian,"['baby bok choy', 'vegetable oil', 'hot pepper', 'shiitake', 'salt', 'pepper', 'garlic clove', 'ginger', 'sugar', 'sesame oil', 'tamari soy sauce', 'scallion', 'roasted sesame seed']"
Sinigang na Baka sa Bayabas,4,7800,,Asian,"['beef shank', 'water', 'fish sauce', 'guava', 'kangkong']"
Sweet and Sour Pork,4,3900,[Main Dishes],Asian,"['boneless pork loin', 'peanut oil', 'minced garlic', 'fresh ginger', 'pineapple chunk', ' egg', 'corn starch', 'all purpose flour', 'water', 'ketchup', 'pineapple juice', 'cider vinegar', 'worcestershire sauce', 'soy sauce', 'sugar']"
Orange Ginger Tofu,4,1800,[Main Dishes],Asian,"['firm tofu', 'corn starch', 'oil', 'cooked rice', 'orange zest', 'fresh ginger', 'garlic', 'orange juice', 'soy sauce', 'sesame oil', 'green onion', 'sesame seed']"
Baby Bok Choy With Oyster Sauce,3,600,,Asian,"['soy sauce', 'oyster sauce', 'sugar', 'rice vinegar', 'neutral oil', 'minced garlic', 'baby bok choy']"
Salmon Teriyaki Noodles,4,1320,[Main Dishes],Japanese,"['salmon', 'salt', 'ground black pepper', 'rice noodle', 'white sesame seed', 'scallion', ' soy sauce', 'mirin', 'sugar']"
Tom Yum Soup,4,2400,[Soups],Asian,"['shrimp', 'straw mushroom', 'lemongrass', 'kaffir lime leaf', 'galangal', 'thai fish sauce', 'fresh lime juice', 'chicken stock', 'small tomato', 'cilantro leaf', 'green onion', 'thai chili paste', 'coconut milk', 'bird chile']"
Ahi Tuna Grain Bowl,4,3600,[],Asian,"['short grain rice', 'water', 'rice vinegar', 'sugar', 'kosher salt', 'soy sauce', 'toasted sesame oil', 'wasabi', 'ahi', 'arugula', 'shredded carrot', 'green onion', 'avocado', 'toasted sesame seed', 'gari', 'nori']"
Thai Red Curry Chicken,4,2700,[Main Dishes],Thai,"['boneless chicken breast', 'onion', 'vegetable oil', 'kosher salt', 'ground ginger', 'coconut milk', 'red curry paste', 'fish sauce', 'tamarind paste', 'lemongrass', 'chopped cilantro', 'brown sugar']"
Asian Style Scallops,5,600,[Main Dishes],Asian,"['scallop', 'soy sauce', 'worcestershire sauce', 'garlic clove', 'ginger', 'sesame oil', 'fresh herb']"
Chicken Fried Rice,4,2100,[Main Dishes],Chinese,"['chicken breast', 'soy sauce', 'corn starch', 'sesame oil', 'oil', 'hot water', 'sugar', 'light soy sauce', 'dark soy sauce', 'white pepper', 'canola oil', 'egg', 'onion', 'cooked rice', 'mung bean sprout', 'scallion', 'shaoxing wine']"
Kung Pao Chicken,4,3600,[Main Dishes],Asian,"['boneless skinless chicken breast half', 'soy sauce', 'sesame oil', 'corn starch', 'chile paste', 'white vinegar', 'brown sugar', 'green onion', 'chopped garlic', 'water chestnut', 'peanut']"
Hoisin Chicken,4,1500,[Main Dishes],Chinese,"['oil', 'garlic', 'broccoli floret', 'chicken breast', 'shiitake', 'carrot', 'salt', 'shaoxing wine', 'starch', 'hoisin sauce', 'soy sauce', 'sesame oil', 'white pepper', 'corn starch', 'water']"
Egg Roll,4,2100,[Appetizers],Asian,"['shredded cabbage', 'beansprouts', 'celery rib', 'green onion', 'shrimp', 'soy sauce', 'garlic powder', 'black pepper', 'egg', 'corn starch', 'egg roll wrapper', 'vegetable oil']"
California Roll Bowl,4,1800,,Asian,"['cooked rice', 'louis kemp crab delight', 'carrot', 'english cucumber', 'green onion', 'avocado', 'seaweed', 'black sesame seed', 'rice vinegar', 'lime juice', 'egg yolk', 'oil', 'wasabi', 'garlic', 'fresh ginger', 'soy sauce']"
Wood Ear Mushroom Salad (åææ¨è³),4,900,[Salads],Asian,"['dried wood ear mushroom', 'garlic', 'thai chile', 'light soy sauce', 'black rice vinegar', 'sugar', 'salt', 'peanut oil', 'szechwan peppercorn', 'chopped cilantro']"
Chicken Yakisoba,4,1800,[Main Dishes],Asian,"['canola oil', 'sesame oil', 'boneless skinless chicken breast half', 'garlic', 'chile paste', 'soy sauce', 'cabbage', 'onion', 'carrot', 'salt', 'yakisoba noodle', 'gari']"
Slow Cooker Korean Spicy Beef | Culture & Cuisine,4,3600,[Main Dishes],Asian,"['beef broth', 'soy sauce', 'brown sugar', 'garlic', 'sesame oil', 'rice vinegar', 'ginger', 'sriracha', 'onion', 'white pepper', 'beef', 'corn starch', 'sesame seed', 'sliced green onion']"
Baked Teriyaki Chicken,4,5100,[Main Dishes],Asian,"['corn starch', 'cold water', 'white sugar', 'soy sauce', 'cider vinegar', 'garlic', 'ground ginger', 'ground black pepper', 'skinless chicken thigh']"
Asian Flank Steak Skewers,5,5400,[Main Dishes],Asian,"['flank steak', ' soy sauce', 'minced garlic', 'fresh ginger', 'sesame oil', 'lime']"
Spinach with Sesame and Garlic,5,1500,,Asian,"['dark sesame oil', 'minced garlic', 'fresh spinach', 'sugar', 'soy sauce', 'salt', 'toasted sesame seed']"
Vegan Summer Rolls with Mango and Avocado {GF},4,2220,,Asian,"['rice paper', 'mango', 'avocado', 'cucumber', 'lettuce leaf', 'cilantro', 'basil', 'rice noodle', 'peanut butter', 'sriracha', ' tamari', 'sesame oil', 'rice vinegar', 'lime', 'hot water']"
Homemade Udon Noodles and Shrimp Dinner,4,2100,[Main Dishes],Asian,"['salt', 'water', 'flour', 'carrot', 'green onion', ' soy sauce', 'garlic', 'shrimp']"
Spicy Thai Noodles,4,1500,[Main Dishes],Asian,"['rice noodle', 'sesame oil', 'boneless skinless chicken breast', 'crushed red pepper flake', 'zucchini', 'mushroom', 'minced garlic', 'brown sugar', 'soy sauce', 'sriracha', 'minced ginger', 'coriander', 'spring onion', 'roasted peanut']"
How To Make Chinese Pepper Steak,4,2700,[Main Dishes],Chinese,"['flank steak', 'soy sauce', 'dry sherry', 'sugar', 'water', 'corn starch', 'vegetable oil', 'ginger root', 'scallion', 'onion', 'green bell pepper', 'garlic clove', 'sliced mushroom']"
Spicy Soba Noodles With Wilted Watercress,3,1500,,Asian,"['soba noodle', 'soy sauce', 'garlic chili sauce', 'toasted sesame oil', 'watercress', 'canola oil', 'toasted sesame seed']"
Vegetarian Mapo Tofu,4,3000,[Main Dishes],Chinese,"['dried shiitake mushroom', 'warm water', 'fermented black bean', 'peanut oil', 'scallion', 'garlic', 'minced ginger', 'medium firm tofu', 'corn starch', 'chili bean paste', 'chinese rice wine', 'soy sauce', 'sesame oil', 'sugar', 'ground sichuan pepper']"
Asian Salad Dressing,4,900,[Salads],Asian,"['mayonnaise', 'rice vinegar', 'brown sugar', 'soy sauce', 'sesame oil', 'ground ginger', 'garlic powder']"
Stir-Fried Bamboo Shoots,4,2400,[],Asian,"['bamboo shoot', 'cooking oil', 'fish sauce', 'tumeric', 'chili powder', 'purple onion', 'green chilies', 'chicken']"
Shrimp Fried Rice in Wonton Wrappers,4,2700,,Asian,"['water', 'jasmine rice', 'egg', 'salt', 'butter', 'soy sauce', 'sesame oil', 'deveined shrimp', 'ginger', 'pea', 'scallion', 'wonton wrapper', 'nonstick spray']"
Asian Noodles,4,1800,,Asian,"['thin spaghetti', 'soy sauce', 'sugar', 'garlic clove', 'rice vinegar', 'sesame oil', 'hot chili oil', 'canola oil', 'green onion']"
Everyday Asian Dressing,4,300,[Salads],Asian,"['rice vinegar', 'soy sauce', 'honey', 'oil', 'granulated sugar', 'toasted sesame seed']"
Asian Marinated Vegetable Skewers,4,2700,,Asian,"['cherry tomato', 'button mushroom', 'purple onion', 'yellow squash', 'zucchini', 'yellow bell pepper', 'oil', 'soy sauce', 'honey', 'garlic', 'fresh ginger', 'pepper', 'salt']"
Thai Coconut Curry,4,1500,[Main Dishes],Asian,"['fish', 'olive oil', 'salt', 'pepper', 'garlic', 'ginger', 'onion', 'sesame oil', 'scallion', 'bok choy', 'vegetable broth', 'light coconut milk', 'red curry paste']"
Thai-Style Coconut Chicken Soup,4,3600,[Soups],Thai,"['chicken stock', 'chicken breast', 'scallion', 'lemongrass', 'ginger', 'soy sauce', 'cayenne pepper', 'shiitake', 'oyster', 'light coconut milk', 'sugar', 'lime zest', 'fresh lime juice', 'chopped cilantro', 'soup']"
Filipino Java Rice,4,1200,[Side Dishes],Asian,"['cooked rice', 'butter', 'oil', 'shallot', 'garlic', 'annatto powder', 'ground turmeric', 'soy sauce', 'kosher salt', 'freshly ground pepper']"
Baby Bok Choy with Warm Miso Ginger Dressing,3,1500,,Japanese,"['peanut oil', 'fresh ginger', 'minced garlic', 'mirin', 'white miso', 'fresh lime juice', 'rice vinegar', 'sriracha', 'sesame oil', 'baby bok choy']"
Home,3,1200,[],Asian,"['vegetable oil', 'small yellow onion', 'carrot', 'savoy cabbage', 'garlic clove', 'peeled fresh ginger', 'long grain white rice', ' egg', 'soy sauce', 'lime', 'scallion']"
Samosa Or How To Make Samosa,3,2400,[],Indian,"['plain flour', 'ghee', 'seed', 'salt', 'potato', 'green pea', 'oil', 'cumin seed', 'asafoetida', 'chilli paste', 'garam masala', 'amchur', 'coriander', 'chutney']"
Vegan Ramen,3,3000,[Main Dishes],Asian,"['butternut squash', 'water', 'miso paste', 'ginger', 'garlic', 'konbu', 'dried shiitake mushroom', 'green onion', 'soy sauce', 'rice vinegar', 'ramen noodle', 'toasted nori', 'carrot', 'daikon', 'tofu', 'garlic chili sauce']"
Veggie Fried Rice,4,1200,[Side Dishes],Asian,"['jasmine brown rice', 'tofu', 'veggie', 'soy sauce', 'black sesame seed', 'oil']"
Sticky Sweet Chili Chicken Wings,4,2700,[Appetizers],Asian,"['vegetable oil', 'corn starch', 'salt', 'chicken wing', 'rice vinegar', 'water', 'sugar', 'garlic', 'chili paste']"
Asian Beef Stock,4,18300,[Soups],Asian,"['meat bone', 'chuck', 'vegetable oil', 'green onion', 'ginger', 'bay leaf', 'sake', 'chili pepper', 'clove', 'star anise', 'nutmeg', 'black pepper', 'coriander seed']"
Easy Asian Noodles,4,1500,[Side Dishes],Asian,"['vegetable oil', 'carrot', 'cabbage', 'shiitake', 'green onion', 'chow mein noodle', 'vegetable broth', ' soy sauce', 'sesame oil', 'sauce']"
Thai Lemon Shrimp,4,1200,,Thai,"['shrimp', 'sweet chili sauce', 'lemon juice', 'kaffir lime leaf', 'lime zest', 'chili sauce', 'fish sauce', 'garlic', 'palm sugar', 'coconut milk', 'cilantro']"
Kerala Style Chicken Curry Recipe-Kerala chicken curry with coconut,4,4200,[Main Dishes],Indian,"['chicken', 'coconut oil', 'onion', 'garlic clove', 'ginger', 'green chilies', 'coriander', 'red chili powder', 'ground turmeric', 'garam masala', 'coconut milk', 'fennel seed', 'salt', 'curry leaf', 'cilantro leaf']"
Honey-Teriyaki Salmon,5,2400,[Main Dishes],Japanese,"[' soy sauce', 'mirin', 'sake', 'honey', 'salmon fillet', 'cooking oil']"
Miso Soup with Udon Noodles,3,1500,[Soups],Japanese,"['udon', 'vegetable broth', 'fresh ginger', 'sake', 'red miso', 'silken tofu', 'button mushroom', 'carrot', 'green onion']"
Five-A-Day Fried Rice,3,2400,,Asian,"['sesame oil', 'yellow onion', 'red bell pepper', 'celery rib', 'carrot', 'broccoli', 'white rice', 'ground ginger', ' soy sauce', 'frozen pea', 'vegetable oil', 'egg', 'green onion']"
Shananigans Chongqing Chicken,4,3000,[Main Dishes],Chinese,"['cashew nut', 'chicken breast', 'light soy sauce', 'shaoxing wine', 'salt', 'ginger', 'garlic', 'szechwan peppercorn', 'spring onion', 'green chilies', 'red chili pepper', 'dark soy sauce', 'chinese black vinegar', 'sugar', 'vegetable']"
Thai Drunken Zucchini Noodles with Spicy Honey Chicken,4,1800,[Main Dishes],Thai,"['hoisin sauce', ' soy sauce', 'oyster', 'sweet chili sauce', 'coconut oil', 'boneless chicken skinless thigh', 'salt', 'pepper', 'garlic chili sauce', 'honey', 'shallot', 'garlic clove', 'red bell pepper', 'scallion', 'medium zucchini', 'sesame chili oil', 'roasted peanut', 'thai basil']"
Asian Steak Bites,4,1500,,Asian,"['flank steak', 'soy sauce', 'honey', 'chili paste', 'olive oil']"
Indochinese Chile Chicken from Paleo Planet,4,3300,[Main Dishes],Asian,"[' egg', 'almond flour', 'tapioca flour', 'coconut amino', 'garlic clove', 'sambal ulek', 'sea salt', 'boneless skinless chicken breast', 'coconut oil', 'cayenne pepper', 'onion', 'jam', 'rice vinegar', 'tomato paste']"
Chicken Adobo,4,6300,[],Asian,"['chicken', 'bay leaf', 'soy sauce', 'vinegar', 'garlic', 'water', 'cooking oil', 'white sugar', 'salt', 'whole peppercorn']"
Healthy and Delicious Vegetable Stir-Fry,3,1200,[Main Dishes],Asian,"['canola oil', 'red bell pepper', 'yellow bell pepper', 'purple onion', 'yellow squash', 'broccoli floret', 'baby eggplant', 'tofu', 'garlic', 'teriyaki sauce', 'bok choy', 'mung bean sprout', 'black pepper', 'salt', 'snow pea', 'sesame oil']"
